pair_id,label_A,label_B,text_A,text_B
1,"Some ancient historical precedent exists for preferring $10$, but also for $6$, so that's mixed support from Wikipedia on perfect numbers.","This is indeed possible, but I haven't seen it done experimentally for reasons other than feasibility."

t,cos_to_A,cos_to_B,nn_rank,nn_cos,nn_text
0.0,0.7153866291046143,0.6147602796554565,1,0.8777276277542114,A yellow school bus parked in a field.
0.0,0.7153866291046143,0.6147602796554565,2,0.8776273727416992,A young girl holds up a peace sign.
0.0,0.7153866291046143,0.6147602796554565,3,0.877591073513031,A young girl makes her bed.
0.0,0.7153866291046143,0.6147602796554565,4,0.8774641156196594,A small bird eating from the feeder.
0.0,0.7153866291046143,0.6147602796554565,5,0.8773870468139648,A dog swims after a tennis ball.
0.1,0.7228671312332153,0.6181380748748779,1,0.8808645009994507,A man pops wheelies on a motorcycle.
0.1,0.7228671312332153,0.6181380748748779,2,0.8807442784309387,Boy with glasses typing on a computer.
0.1,0.7228671312332153,0.6181380748748779,3,0.880687952041626,The man is putting chicken into the container.
0.1,0.7228671312332153,0.6181380748748779,4,0.8806543350219727,A puppy is playing with a tennis ball.
0.1,0.7228671312332153,0.6181380748748779,5,0.8806185722351074,Three men in suits sitting at a table.
0.2,0.726646363735199,0.6467175483703613,1,0.8954166769981384,A dog is pulling a child down a hill.
0.2,0.726646363735199,0.6467175483703613,2,0.8947766423225403,A man on a mountain bike going down an incline.
0.2,0.726646363735199,0.6467175483703613,3,0.894480288028717,A person breaks an egg into a small bowl.
0.2,0.726646363735199,0.6467175483703613,4,0.8944609761238098,Some people are throwing a dummy off a cliff.
0.2,0.726646363735199,0.6467175483703613,5,0.894417405128479,A man is slicing a carrot by a machine.
0.3,0.6915601491928101,0.6315576434135437,1,0.8755486011505127,A woman rapidly fires a handgun.
0.3,0.6915601491928101,0.6315576434135437,2,0.8752378225326538,Two girls talk on the phone.
0.3,0.6915601491928101,0.6315576434135437,3,0.8750659227371216,Three dogs swim in the water.
0.3,0.6915601491928101,0.6315576434135437,4,0.8750055432319641,Two dogs run through the brush.
0.3,0.6915601491928101,0.6315576434135437,5,0.8749667406082153,a bird lands in the water.
0.4,0.7148053050041199,0.6212976574897766,1,0.8808512091636658,A small bird on a tiny branch.
0.4,0.7148053050041199,0.6212976574897766,2,0.8803490400314331,A woman is washing a freezer.
0.4,0.7148053050041199,0.6212976574897766,3,0.8800897598266602,A man is cleaning a glass door.
0.4,0.7148053050041199,0.6212976574897766,4,0.8800573348999023,A small bird eating from the feeder.
0.4,0.7148053050041199,0.6212976574897766,5,0.8800017237663269,A man removes food from a bag.
0.5,0.6912516355514526,0.5855904817581177,1,0.8456721305847168,A man walks two dogs in the city.
0.5,0.6912516355514526,0.5855904817581177,2,0.8450896143913269,A yellow school bus parked in a field.
0.5,0.6912516355514526,0.5855904817581177,3,0.8447415232658386,A policeman stands in a crosswalk in a city.
0.5,0.6912516355514526,0.5855904817581177,4,0.8446336984634399,A living room with a dining table in the background.
0.5,0.6912516355514526,0.5855904817581177,5,0.8446272611618042,The people got off the train at the station.
0.6,0.7065353989601135,0.6230491399765015,1,0.8593881130218506,A man is drivong a car.
0.6,0.7065353989601135,0.6230491399765015,2,0.8587926626205444,A man is throwing knives at a tree.
0.6,0.7065353989601135,0.6230491399765015,3,0.8587568998336792,A red bird is perched in a tree.
0.6,0.7065353989601135,0.6230491399765015,4,0.8587188720703125,A lion is walking in an enclosed area.
0.6,0.7065353989601135,0.6230491399765015,5,0.8584993481636047,A man is slicing a cucumber.
0.7,0.7171571254730225,0.6216900944709778,1,0.8772197961807251,A flat screen TV on the floor.
0.7,0.7171571254730225,0.6216900944709778,2,0.8771504163742065,A Macintosh computer sitting on the floor.
0.7,0.7171571254730225,0.6216900944709778,3,0.8763278126716614,An Apple computer sitting on the floor.
0.7,0.7171571254730225,0.6216900944709778,4,0.8763165473937988,A large jet on the ground at the airport.
0.7,0.7171571254730225,0.6216900944709778,5,0.8762876987457275,The man did pushups on a wall.
0.8,0.6742684841156006,0.6364965438842773,1,0.877788782119751,The monkey pushed the other monkey.
0.8,0.6742684841156006,0.6364965438842773,2,0.8765226602554321,A man is using a laptop.
0.8,0.6742684841156006,0.6364965438842773,3,0.8761494159698486,A man is stabbing a target.
0.8,0.6742684841156006,0.6364965438842773,4,0.8760652542114258,Ten sheep looking at the camera.
0.8,0.6742684841156006,0.6364965438842773,5,0.8760419487953186,The doctor was helping the patient.
0.9,0.6947649121284485,0.5998483896255493,1,0.8518385291099548,A red double decker bus driving down a street.
0.9,0.6947649121284485,0.5998483896255493,2,0.8514700531959534,A yellow school bus parked in a field.
0.9,0.6947649121284485,0.5998483896255493,3,0.8511355519294739,A red double decker bus on a city street.
0.9,0.6947649121284485,0.5998483896255493,4,0.8510578274726868,A double decker bus drives on a city street.
0.9,0.6947649121284485,0.5998483896255493,5,0.8509794473648071,A close-up of a yellow school bus.
1.0,0.7164808511734009,0.6229496598243713,1,0.8765125274658203,A little girl plays the violin on a beach.
1.0,0.7164808511734009,0.6229496598243713,2,0.8758442401885986,A dog is on the beach near a ball.
1.0,0.7164808511734009,0.6229496598243713,3,0.8757317066192627,A kid jumping a ledge with a bike.
1.0,0.7164808511734009,0.6229496598243713,4,0.8756999373435974,A dog is pulling a child down a hill.
1.0,0.7164808511734009,0.6229496598243713,5,0.8754767775535583,A person throws a cat on the ceiling.
